GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Parcial2,center,Center,62,15,0,0,18,6,12,1,12,1
Parcial2,usuario,Usuario,40,59,2,0,10,22,3,11,2,11
Parcial2,covidmanager,Manager,22,16,1,1,6,5,3,2,2,2
Parcial2,covidmanager,CovidManager,25,35,2,2,8,10,3,3,1,3
